"Codigo"|"Estado"|"Cod. Proveedor"|"Proveedor"|"Nombre"|"Descripcion"|"Marca"|"Precio final"|"Precio super"|"Stock"
"HIP01004"|"activo"|"4"|"Distribuidora Parodi"|"Acondicionador 400 cc"|""|"Tresemmé"|"145.65"|"171.59"|""
"HIP01005"|"oculto"|"22"|"Tierra Nuestra"|"Shampoo de ortiga 300 cc"|""|"Tierra Nuestra"|"71.5"|"0.0"|""
"HIP02001"|"activo"|"3"|"Distribución Rosario"|"Jabón de tocador 3 u"|"Cooperativa de Trabajo"|"Coop. Cañada Rosquín"|"29.11"|"44.74"|""
"HIP02002"|"oculto"|"22"|"Tierra Nuestra"|"Jabón natural de manzanilla 1 u"|""|"Tierra Nuestra"|"22.0"|"0.0"|""
"HIP03001"|"oculto"|"22"|"Tierra Nuestra"|"Crema natural caléndula 50 g"|""|"Tierra Nuestra"|"0.0"|"0.0"|""
"HIP03002"|"oculto"|"22"|"Tierra Nuestra"|"Crema natural manzanilla 50 g"|""|"Tierra Nuestra"|"0.0"|"0.0"|""
"HIP04001"|"activo"|"4"|"Distribuidora Parodi"|"Dentífrico 90 g"|""|"Colgate"|"62.59"|"72.9"|""
"HIP04002"|"oculto"|"4"|"Distribuidora Parodi"|"Dentífrico 180gr."|""|"Colgate"|"0.0"|"0.0"|""
"HIP05001"|"activo"|"4"|"Distribuidora Parodi"|"Desodorante aerosol"|"Original"|"Dove"|"88.0"|"119.56"|""
"HIP05002"|"activo"|"4"|"Distribuidora Parodi"|"Desodorante bolilla 50 ml"|"Original"|"Dove"|"79.84"|"99.5"|""
"HIP06001"|"oculto"|"4"|"Distribuidora Parodi"|"Algodón 75 g"|""|"Doncella"|"13.77"|"43.5"|""
"HIP07001"|"activo"|"4"|"Distribuidora Parodi"|"Toallas femeninas 8 u"|""|"Siempre Libre"|"44.85"|"49.01"|""
"HIP07002"|"activo"|"4"|"Distribuidora Parodi"|"Protectores diarios sin alas 20 u"|"Compact sin perfume / sin alas"|"Carefree"|"46.75"|"66.48"|""
"HIP08001"|"activo"|"68"|"Distribuidora Carrillo "|"Pañuelos descartables 6 u"|""|"Elegante"|"34.2"|"51.35"|""
"LIM01001"|"oculto"|"18"|"El Libertador"|"Lavavajilla 750cc."|""|"El Libertador"|"29.65"|"37.9"|""
"LIM01002"|"activo"|"4"|"Distribuidora Parodi"|"Detergente 300 ml"|""|"Cif"|"50.8"|"55.8"|""
"LIM01003"|"oculto"|"19"|"Cooperativa La Esperanza"|"Detergente 1000 cc"|"Cooperativa de trabajo de discapacitados mentales"|"Cooperativa La Esperanza"|"23.65"|"65.0"|""
"LIM04001"|"activo"|"4"|"Distribuidora Parodi"|"Esponja cuadriculada 1 u"|""|"Mortimer"|"14.5"|"16.2"|""
"LIM04002"|"activo"|"4"|"Distribuidora Parodi"|"Esponja de acero 1 u"|""|"Task"|"11.98"|"21.5"|"12"
"LIM05001"|"activo"|"19"|"Cooperativa La Esperanza"|"Trapo amarillo 1 u"|"Cooperativa de trabajo de discapacitados mentales"|"Cooperativa La Esperanza"|"18.15"|"33.99"|""
"LIM03001"|"oculto"|"18"|"El Libertador"|"Perfumina pino 900cc."|"El Libertador"|"El Libertador"|"0.0"|"0.0"|""
"LIM03003"|"activo"|"18"|"El Libertador"|"Perfumina 900 cc"|"Varias fragancias"|"El Libertador"|"27.63"|"49.54"|""
"LIM03004"|"oculto"|"4"|"Distribuidora Parodi"|"Perfumina 900cc"|""|"Gigante"|"0.0"|"0.0"|""
"LIM03005"|"oculto"|"19"|"Cooperativa La Esperanza"|"Perfumina limón 1000cc"|"La Esperanza Lta.. Cooperativa de trabajo de discapacitados mentales"|"Cooperativa La Esperanza"|"0.0"|"0.0"|""
"LIM05002"|"activo"|"19"|"Cooperativa La Esperanza"|"Trapo de piso 1 u"|"Cooperativa de trabajo de discapacitados mentales"|"Cooperativa La Esperanza"|"33.0"|"98.99"|""
"LIM13001"|"oculto"|"18"|"El Libertador"|"Cera líquida incolora 1000cc."|""|"El Libertador"|"38.58"|"47.98"|""
"LIM07002"|"activo"|"18"|"El Libertador"|"Jabón líquido para ropa 800 cc"|""|"El Libertador"|"55.98"|"70.94"|""
"LIM07003"|"activo"|"19"|"Cooperativa La Esperanza"|"Jabón líquido para ropa"|"1000 cc - Cooperativa de trabajo de discapacitados mentales"|"Cooperativa La Esperanza"|"41.25"|"91.29"|""
"LIM08001"|"activo"|"4"|"Distribuidora Parodi"|"Jabón en polvo para ropa 800 g"|""|"Drive"|"66.46"|"95.25"|""
"LIM09001"|"activo"|"18"|"El Libertador"|"Suavizante 800 cc"|""|"El Libertador"|"41.12"|"50.11"|""
"LIM02003"|"activo"|"19"|"Cooperativa La Esperanza"|"Lavandina 1000 cc"|"Cooperativa de trabajo de discapacitados mentales"|"Cooperativa La Esperanza"|"19.8"|"30.7"|""
"LIM10001"|"activo"|"3"|"Distribución Rosario"|"Rollos de cocina 3 u"|""|"Dicha"|"41.8"|"56.21"|""
"LIM11001"|"oculto"|"68"|"Distribuidora Carrillo "|"Papel higiénico 4u."|"Elegante"|"Elegante"|"20.47"|"30.0"|""
"LIM14001"|"oculto"|"20"|"Tolim"|"Bolsas de consorcio 45x60 30 u"|""|"Tolim"|"12.15"|"0.0"|""
"LIM14002"|"oculto"|"20"|"Tolim"|"Bolsas de consorcio 60x95 10u."|"Tolim"|"Tolim"|"0.0"|"0.0"|""
"LIM14003"|"oculto"|"20"|"Tolim"|"Bolsas de consorcio 80x110 10 u"|""|"Tolim"|"21.6"|"0.0"|""
"LIM14004"|"oculto"|"20"|"Tolim"|"Bolsas de consorcio 92x120 10u."|"Tolim"|"Tolim"|"0.0"|"0.0"|""
"LIM15001"|"oculto"|"4"|"Distribuidora Parodi"|"Desodorante de ambiente 360cc."|""|"Glade"|"0.0"|"0.0"|""
"LIM18001"|"oculto"|"4"|"Distribuidora Parodi"|"Limpiador multiuso 450cc."|""|"Mr. Músculo"|"0.0"|"0.0"|""
"CAN02004"|"oculto"|"31"|"Varios"|"Canasta de frutas"|"1kg. durazno + 1kg. naranja + 1kg. pera + 1kg. banana"|"Varios"|"0.0"|"0.0"|""
"CAN02006"|"oculto"|"31"|"Varios"|"Canasta de verduras chica"|"1 kg. tomate + 1 kg. papa limpia + 1 kg. cebolla + 1kg. zapallito + 500gr. pimiento verde + 500gr. zanahoria + 1paq. lechuga + 1paq. Acelga"|"Varios"|"0.0"|"0.0"|""
"CAN02005"|"oculto"|"31"|"Varios"|"Canasta de verduras grande"|"1kg. tomate + 1 kg. papa limpia + 1kg. cebolla + 1kg. zapallito + 500gr. pimiento verde + 500gr. Zanahoria + 1paq. lechuga + 1paq.acelga + 1paq. remolacha sin hojas + 6u. huevos"|"Varios"|"0.0"|"0.0"|""
"CAN01002"|"oculto"|"31"|"Varios"|"Canasta Pastas"|"1kg. ravioles de verdura Mil Hojas + 500gr. Fideos frescos Tradición Italiana + 250gr. Queso sardo Lácteos Rosario + 1 Crema de leche Cotar 200gr."|"Varios"|"0.0"|"0.0"|""
"CAN01003"|"oculto"|"31"|"Varios"|"Canasta Pizzas"|"Prepizza a la piedra Mil Hojas 2u. + Muzzarella Lácteos La Resistencia 300gr."|"Varios"|"0.0"|"0.0"|""
"CAN01004"|"oculto"|"31"|"Varios"|"Canasta Picada"|"Salame Embutidos Natali 300gr. + Queso criollo Lácteos La Resistencia 350gr. + Aceitunas verdes 330cc."|"Varios"|"0.0"|"0.0"|""
"FYV02001"|"oculto"|"32"|"Naturalísima"|"Ensalada mixta radicheta zanahoria 300gr."|""|"Naturalísima"|"0.0"|"42.9"|""
"FYV02004"|"oculto"|"32"|"Naturalísima"|"Rúcula"|""|"Naturalísima"|"0.0"|"0.0"|""
"FYV02005"|"oculto"|"32"|"Naturalísima"|"Ensalada zanahoria 350gr."|""|"Naturalísima"|"0.0"|"42.9"|""
"FYV02006"|"oculto"|"32"|"Naturalísima"|"Ensalada zanahoria lechuga cherry 350gr."|""|"Naturalísima"|"0.0"|"42.9"|""
"FYV02007"|"oculto"|"33"|"Gallinas Libres"|"Huevos de gallina orgánicos 6u."|"Cooperativa Mainumbi, Totoras"|"Cooperativa Mainumbi"|"0.0"|"0.0"|""
"FYV02008"|"oculto"|"29"|"Hinostroza"|"Brotes de soja 200gr."|"Directo del productor"|"Hinostroza"|"0.0"|"0.0"|""
"FYV02009"|"activo"|"29"|"Hinostroza"|"Champiniones 250 g"|"Directo de productor"|"Misión Verde"|"96.0"|"96.75"|""
"HIP02004"|"oculto"|"22"|"Tierra Nuestra"|"Jabón natural de caléndula 1 u"|""|"Tierra Nuestra"|"22.0"|"0.0"|""
"ALM29005"|"oculto"|"13"|"Patricio Delgado"|"Fideos de arroz con morrón 300 g"|""|"Soyarroz"|"69.6"|"129.67"|""
"ALM29006"|"oculto"|"13"|"Patricio Delgado"|"Fideos de arroz tradicionales 300 g"|""|"Fu Sheng"|"64.8"|"0.0"|""
"ALM25007"|"activo"|"13"|"Patricio Delgado"|"Galletitas de arroz 150 g"|""|"Molinos del Bosque"|"42.0"|"45.0"|""
"ALM45002"|"activo"|"13"|"Patricio Delgado"|"Salsa de soja 500 cc"|""|"Chuantong"|"46.8"|"140.31"|""
"FRE04007"|"oculto"|"10"|"Lácteos La Resistencia"|"Muzzarella 400 g"|""|"Lácteos La Resistencia"|"92.4"|"0.0"|""
"FRE04009"|"activo"|"10"|"Lácteos La Resistencia"|"Provoletas 2 u"|""|"Lácteos La Resistencia"|"121.0"|"140.0"|""
"ALM48001"|"activo"|"4"|"Distribuidora Parodi"|"Salsa Golf 250 g"|""|"Cada Día"|"40.6"|"45.59"|""
"HIP02005"|"oculto"|"22"|"Tierra Nuestra"|"Jabón líquido manzanilla"|""|"Tierra Nuestra"|"0.0"|"0.0"|""
"HIP02006"|"oculto"|"22"|"Tierra Nuestra"|"Jabón líquido caléndula"|""|"Tierra Nuestra"|"0.0"|"0.0"|""
"FYV02014"|"oculto"|"32"|"Naturalísima"|"Ensalada zanahoria radicheta repollo 350gr."|""|"Naturalísima"|"0.0"|"42.9"|""
"FYV02010"|"oculto"|"32"|"Naturalísima"|"Ensalada zanahoria radicheta repollo colorado 350gr."|""|"Naturalísima"|"0.0"|"42.9"|""
"FYV02015"|"oculto"|"32"|"Naturalísima"|"Ensalada zanahoria rúcula repollo 350gr."|""|"Naturalísima"|"0.0"|"42.9"|""
"FYV02011"|"oculto"|"32"|"Naturalísima"|"Ensalada zanahoria rúcula 350gr."|""|"Naturalísima"|"0.0"|"42.9"|""
"FYV02012"|"oculto"|"32"|"Naturalísima"|"Ensalada radicheta cherry 350gr."|""|"Naturalísima"|"0.0"|"42.9"|""
"HIP02007"|"oculto"|"22"|"Tierra Nuestra"|"Gel de menta aloe vera y zanahoria"|"Cooperativa Tierra Nuestra"|"Tierra Nuestra"|"0.0"|"0.0"|""
"ALM25008"|"activo"|"34"|"Salvena Miel"|"Granola 250 g"|"Avena arrollada + salvado de trigo + germen de trigo + semillas de chia + semillas de lino + semillas de sésamo + semillas de girasol + almendras + nueces de pecán + pasas de uva + canela + miel"|"Salvena Miel"|"81.4"|"0.0"|""
"ALM25009"|"activo"|"34"|"Salvena Miel"|"Granola 1 k"|"Avena arrollada + salvado de trigo + germen de trigo + semillas de chia + semillas de lino + semillas de sésamo + semillas de girasol + almendras + nueces de pecán + pasas de uva + canela + miel"|"Salvena Miel"|"253.0"|"0.0"|""
"CAN01006"|"activo"|"10"|"Lácteos La Resistencia"|"Canasta de Quesos"|"150gr. criollo + 150gr. saborizado ají y orégano + 150gr. provenzal + 150gr. pimienta ahumada + 200gr. Reggianito"|"Lácteos La Resistencia"|"308.0"|"463.25"|""
"FYV02013"|"oculto"|"32"|"Naturalísima"|"Acelga en bolsa 1 k."|""|"Naturalísima"|"0.0"|"0.0"|""
"ALM02004"|"oculto"|"3"|"Distribución Rosario"|"#N/A"|"#N/A"|"#N/A"|"0.0"|"0.0"|"0"
"ALM02005"|"activo"|"3"|"Distribución Rosario"|"Vinagre manzana 500cc"|""|"Halconero"|"29.21"|"48.35"|""
"ALM02006"|"oculto"|"3"|"Distribución Rosario"|"#N/A"|"#N/A"|"#N/A"|"0.0"|"0.0"|"0"
"ALM25011"|"oculto"|"34"|"Salvena Miel"|"Turrón pasas de uva 1u 100 g"|""|"Salvena Miel"|"30.25"|"0.0"|""
"ALM25012"|"activo"|"34"|"Salvena Miel"|"Turrón almendras 1u 100 g"|""|"Salvena Miel"|"30.25"|"0.0"|""
"ALM25013"|"oculto"|"34"|"Salvena Miel"|"Turrón ciruelas 1u 100 g"|""|"Salvena Miel"|"30.25"|"0.0"|""
"ALM25014"|"oculto"|"13"|"Patricio Delgado"|"Nachos tradicionales 200 g"|""|"Antojitos"|"47.4"|"76.2"|""
"ALM25015"|"oculto"|"13"|"Patricio Delgado"|"Nachos sabor panceta 110 g"|""|"Antojitos"|"47.4"|"54.45"|""
"ALM25016"|"oculto"|"13"|"Patricio Delgado"|"Copos de maíz tradicionales 150 g"|""|"3 Arroyos"|"19.32"|"0.0"|""
"ALM36009"|"oculto"|"65"|"Artemio"|"Vino Malbec 750cc."|""|"Alma Mora"|"0.0"|"95.58"|""
"ALM36010"|"oculto"|"65"|"Artemio"|"Vino Cabernet 750cc."|""|"Alma Mora"|"0.0"|"0.0"|""
"ALM36011"|"oculto"|"65"|"Artemio"|"Vino reserva Malbec 750ml."|""|"Santa Julia"|"0.0"|"0.0"|""
"ALM36012"|"oculto"|"65"|"Artemio"|"Vino reserva Cabernet 750ml."|""|"Santa Julia"|"0.0"|"0.0"|""
"LIM03006"|"activo"|"19"|"Cooperativa La Esperanza"|"Perfumina 1000 cc"|"Varios aromas . Cooperativa de trabajo de discapacitados mentales"|"Cooperativa La Esperanza"|"18.7"|"49.54"|""
"FRE05005"|"activo"|"10"|"Lácteos La Resistencia"|"Queso reggianito 1 k"|""|"Lácteos La Resistencia"|"368.5"|"785.0"|""
"LIM02004"|"oculto"|"18"|"El Libertador"|"Lavandina 1000 cc"|""|"El Libertador"|"24.47"|"30.7"|""
"LIM09002"|"activo"|"19"|"Cooperativa La Esperanza"|"Suavizante 1000 cc"|"Cooperativa de trabajo de discapacitados mentales"|"Cooperativa La Esperanza"|"33.93"|"59.73"|""
"ALM20010"|"activo"|"8"|"Alimentos Natureza"|"Mermelada mandarina 450 g"|""|"Alimentos Natureza"|"115.5"|"130.0"|""
"ALM20011"|"activo"|"8"|"Alimentos Natureza"|"Mermelada pomelo 450 g"|""|"Alimentos Natureza"|"115.5"|"130.0"|""
"CSOCIAL"|"oculto"|"31"|"Varios"|"Cuota social ordinaria"|"Para mantener el proyecto colectivo!"|"MAI"|"200.0"|"0.0"|""
"HIP01006"|"oculto"|"22"|"Tierra Nuestra"|"Acondicionador de ortiga"|""|"Tierra Nuestra"|"71.5"|"0.0"|""
"HIP03004"|"oculto"|"22"|"Tierra Nuestra"|"Pomada de eucalipto y tomillo (descongestiva)"|""|"Tierra Nuestra"|"0.0"|"0.0"|""
"CAN03004"|"oculto"|"22"|"Tierra Nuestra"|"Canasta de higiene personal Ortiga"|"Shampoo de ortiga + acondicionador de aloe caléndula ortiga + jabón líquido de lavanda + 1 jabón sólido"|"Tierra Nuestra"|"0.0"|"0.0"|""
"ALM24010"|"oculto"|"11"|"Fargo"|"Rapiditas 12u."|"Fargo"|"Fargo"|"0.0"|"0.0"|""
"ALM24011"|"oculto"|"11"|"Fargo"|"Madalenas con dulce de leche 250gr."|"Fargo"|"Fargo"|"0.0"|"0.0"|""
"ALM24012"|"oculto"|"11"|"Fargo"|"Tostaditas clásicas 140gr."|"Fargo"|"Fargo"|"0.0"|"0.0"|""
"ALM24013"|"oculto"|"11"|"Fargo"|"Pan lactal salvado doble 400gr."|"Fargo"|"Fargo"|"0.0"|"0.0"|""
"ALM01006"|"oculto"|"42"|"Felix Alberto Romero"|"Aceite de oliva 500 cc"|"Extra virgen"|"Albardón"|"138.0"|"224.73"|""
"ALM36013"|"activo"|"65"|"Artemio"|"Vino Malbec 750ml."|""|"Santa Julia"|"131.56"|"160.0"|""
"ALM36014"|"oculto"|"65"|"Artemio"|"Vino Cabernet 750ml."|""|"Santa Julia"|"0.0"|"130.8"|""
"ALM36015"|"oculto"|"65"|"Artemio"|"Aperitivo Fernet 1000ml."|""|"Branca"|"0.0"|"0.0"|""
"HIP02009"|"oculto"|"22"|"Tierra Nuestra"|"Jabón natural de lavanda 1 u"|""|"Tierra Nuestra"|"22.0"|"0.0"|""
"HIP02008"|"oculto"|"22"|"Tierra Nuestra"|"Jabón líquido lavanda"|""|"Tierra Nuestra"|"55.0"|"0.0"|""
"ALM14004"|"oculto"|"9"|"Poroto Santto"|"#N/A"|"#N/A"|"#N/A"|"0.0"|"0.0"|"0"
"ALM14005"|"oculto"|"9"|"Poroto Santto"|"#N/A"|"#N/A"|"#N/A"|"0.0"|"0.0"|"0"
"ALM14006"|"activo"|"9"|"Poroto Santto"|"Harina integral agroecológica 500 g"|"Producida en Casilda (proyecto PACA) - Santa Fe"|"Poroto Santto"|"38.5"|"0.0"|""
"ALM14007"|"oculto"|"9"|"Poroto Santto"|"Arroz jazmin pulido agroecológico 500gr."|"Producido en San Javier - Santa Fe"|"Poroto Santto"|"0.0"|"0.0"|""
"ALM14008"|"oculto"|"9"|"Poroto Santto"|"Arroz jazmín integral agroecológico 500gr."|"Producido en San Javier - Santa Fe"|"Poroto Santto"|"0.0"|"0.0"|""
"ALM14009"|"oculto"|"9"|"Poroto Santto"|"Polenta agroecológica 500 g"|"Fraccionada por Poroto Santto. Producida en La Criolla - Santa Fe"|"Poroto Santto"|"36.3"|"0.0"|""
"ALM14010"|"oculto"|"9"|"Poroto Santto"|"#N/A"|"#N/A"|"#N/A"|"0.0"|"0.0"|"0"
"ALM14012"|"activo"|"9"|"Poroto Santto"|"Lentejas agroecológicas 500 g"|"Producidas en Chacra Monteflores ubicada Ruta A012 - Alvear - Santa Fe dirigida por Luciano"|"Poroto Santto"|"66.0"|"0.0"|""
"ALM14013"|"oculto"|"9"|"Poroto Santto"|"Arvejas agroecológicas 500gr."|"Producidas en Chacra Monteflores - Alvear"|"Poroto Santto"|"0.0"|"0.0"|""
"ALM06011"|"oculto"|"6"|"FECOFE"|"#N/A"|"#N/A"|"#N/A"|"0.0"|"0.0"|"0"
"ALM36016"|"oculto"|"65"|"Artemio"|"Vino Malbec 750cc."|""|"Uxmal"|"0.0"|"156.0"|""
"ALM37005"|"oculto"|"35"|"Ermelinda Miel"|"Miel 500 g"|""|"Ermelinda Miel"|"36.23"|"149.99"|""
"LIM13002"|"oculto"|"18"|"El Libertador"|"Cera líquida roja 1000cc."|""|"El Libertador"|"0.0"|"47.98"|""
"ALM24020"|"oculto"|"13"|"Patricio Delgado"|"Biscuits 120gr."|"Apto celíacos"|"Smams"|"0.0"|"48.99"|""
"ALM24021"|"oculto"|"13"|"Patricio Delgado"|"Copos de maíz azucarados 240 g"|""|"3 Arroyos"|"28.49"|"0.0"|""
"ALM24022"|"oculto"|"13"|"Patricio Delgado"|"Batatas / Mandiocas fritas 70 g"|""|"Nuestros Sabores"|"36.48"|"35.9"|""
"FYV1234"|"oculto"|"105"|"Quiero Verde Soldini"|"Bolsón con verduras surtidas"|"Acelga Remolacha Repollo Puerro Calabaza Radicheta"|"Quiero Verde Soldini"|"0.0"|"0.0"|""
"FYV1235"|"oculto"|"105"|"Quiero Verde Soldini"|"Bolsón con verduras agroecológicas- 1"|"Acelga Puerro Verdeo Berenjena Pimiento Kale Calabaza"|"Quiero Verde Soldini"|"0.0"|"0.0"|""
"ALM26003"|"oculto"|"36"|"Cotar"|"Leche Par. Descr. UAT 1L"|""|"Cotar"|"38.5"|"60.69"|""
"ALM26004"|"oculto"|"36"|"Cotar"|"Leche U.A.T Entera 1L"|""|"Cotar"|"26.95"|"60.69"|""
"FRE11001"|"oculto"|"36"|"Cotar"|"Yoghurt pote frutilla entero 160 g"|""|"Cotar"|"18.66"|"22.0"|""
"FRE11002"|"oculto"|"36"|"Cotar"|"Yoghurt pote vainilla entero 160 g"|""|"Cotar"|"15.46"|"0.0"|""
"FRE11003"|"oculto"|"36"|"Cotar"|"Yoghurt pote D. de leche entero 160 g"|""|"Cotar"|"13.38"|"0.0"|""
"FYV10013"|"oculto"|"29"|"Hinostroza"|"Frutillas 500 g"|"Directo de productor"|"Misión Verde"|"40.5"|"0.0"|""
"FRE10001"|"oculto"|"36"|"Cotar"|"Manteca 200gr."|"Cotar"|"Cotar"|"0.0"|"0.0"|""
"FRE10002"|"oculto"|"36"|"Cotar"|"Crema de leche 200 g"|""|"Cotar"|"35.17"|"38.66"|""
"ALM24019"|"oculto"|"13"|"Patricio Delgado"|"Galletitas rellenas chocolate 110gr."|"Smams"|"Smams"|"0.0"|"0.0"|""
"ALM14014"|"oculto"|"9"|"Poroto Santto"|"#N/A"|"#N/A"|"#N/A"|"0.0"|"0.0"|"0"
"ALM24024"|"oculto"|"11"|"Fargo"|"Figacitas 6u."|"Lactal"|"Lactal"|"0.0"|"0.0"|""
"ALM24025"|"oculto"|"11"|"Fargo"|"Pan lactal rodajas finas 400gr."|"Fargo"|"Fargo"|"0.0"|"0.0"|""
"ALM25020"|"oculto"|"43"|"Crowie"|"Barrita de arroz con baño frutilla 6 u"|""|"Crowie"|"65.86"|"90.0"|""
"ALM25021"|"activo"|"43"|"Crowie"|"Barrita de arroz con baño chocolate 6 u"|""|"Crowie"|"65.86"|"90.0"|""
"ALM25022"|"activo"|"43"|"Crowie"|"Barrita de arroz con baño blanco 6 u"|""|"Crowie"|"65.86"|"90.0"|""
"BOL0001"|"oculto"|"37"|"Newen"|"Bolsa Vino 1u."|"Newen. Fábrica autogestionada. Bolsa de papel para botellas de vino (14x8x35)"|"Newen"|"0.0"|"0.0"|""
"BOL0002"|"oculto"|"37"|"Newen"|"Bolsa Vino en kraft marrón 1u."|"Newen. Fábrica autogestionada. Bolsa de papel para botellas de vino (14x8x35)"|"Newen"|"0.0"|"0.0"|""
"BOL0003"|"oculto"|"37"|"Newen"|"Bolsa Banksy en kraft marrón 1u."|"Newen. Fábrica autogestionada. Bolsa de papel marrón (16x7x25)"|"Newen"|"0.0"|"0.0"|""
"BOL0004"|"oculto"|"37"|"Newen"|"Bolsa Frase 1u."|"Newen. Fábrica autogestionada. Bolsa de papel marrón (16x7x25)"|"Newen"|"0.0"|"0.0"|""
"BOL0005"|"oculto"|"37"|"Newen"|"Bolsa Libros y gente en kraft blanca 1u."|"Newen. Fábrica autogestionada. Bolsa de papel marrón (16x7x25)"|"Newen"|"0.0"|"0.0"|""
"ALM20012"|"oculto"|"8"|"Alimentos Natureza"|"Mermelada de frutilla 450gr."|""|"Alimentos Natureza"|"88.0"|"0.0"|""
"ALM14016"|"oculto"|"9"|"Poroto Santto"|"#N/A"|"#N/A"|"#N/A"|"0.0"|"0.0"|"0"
"ALM24009"|"oculto"|"11"|"Fargo"|"Pan dulce con frutas 500gr."|"Fargo"|"Fargo"|"0.0"|"0.0"|""
"ALM24026"|"oculto"|"11"|"Fargo"|"Pan dulce con chips de chocolate 500gr."|"Fargo"|"Fargo"|"0.0"|"0.0"|""
"NAV0001"|"oculto"|"31"|"Varios"|"Canasta Navideña chica"|"Pan dulce con frutas Fargo + budin marmolado Fargo + maní con chocolate Bariloche 120gr. + garrapiñada Grabich 80gr. + turrón maní Bariloche 80gr."|"Varios"|"0.0"|"0.0"|""
"NAV0002"|"oculto"|"31"|"Varios"|"Canasta Navideña grande"|"Pan dulce con chips de chocolate Fargo + budín marmolado Fargo + budín limón Fargo + maní con chocolate Bariloche 120gr. 2u. + garrapiñada Grabich 80gr. + turrón Bariloche 80gr. 2u. + pionono Fargo"|"Varios"|"0.0"|"0.0"|""
"FRE04020"|"oculto"|"10"|"Lácteos La Resistencia"|"Queso barra feteado 200gr."|"Lácteos La Resistencia. 10 fetas envasadas al vacío"|"Lácteos La Resistencia"|"0.0"|"0.0"|""
"ALM14020"|"oculto"|"42"|"Felix Alberto Romero"|"Aceitunas verdes N° 1 500 g"|""|"Gemma"|"0.0"|"0.0"|""
"FRE08004"|"activo"|"27"|"Embutidos Natali"|"Jamón Crudo feteado 150 g"|""|"Embutidos Natali"|"68.81"|"160.0"|""
"FRE08005"|"activo"|"27"|"Embutidos Natali"|"Salame crespón feteado 150 g"|""|"Embutidos Natali"|"66.66"|"101.85"|""
"FRE08006"|"oculto"|"27"|"Embutidos Natali"|"Lomo feteado 150 g"|""|"Embutidos Natali"|"59.4"|"0.0"|""
"ALM36017"|"oculto"|"3"|"Distribución Rosario"|"Sidra 720cc."|"La Victoria. Envase de vidrio"|"La Victoria"|"0.0"|"0.0"|""
"ALM15003"|"oculto"|"3"|"Distribución Rosario"|"#N/A"|"#N/A"|"#N/A"|"0.0"|"0.0"|"0"
"FRE11011"|"oculto"|"41"|"Tradición Italiana"|"Fideos frescos 500gr."|"Tradición Italiana"|"Tradición Italiana"|"0.0"|"0.0"|""
"ALM20004"|"oculto"|"9"|"Poroto Santto"|"Mermelada de quinotos en almíbar 400gr."|"Poroto Santto"|"Poroto Santto"|"0.0"|"0.0"|""
"ALM20005"|"oculto"|"9"|"Poroto Santto"|"Mermelada de higo 400gr."|"Poroto Santto"|"Poroto Santto"|"0.0"|"0.0"|""
"HIP50001"|"oculto"|"39"|"Selvamor"|"Champú orgánico de caléndula 250cc."|"Selvamor. Arte natural y curativo"|"Selvamor"|"0.0"|"0.0"|""
"HIP50002"|"activo"|"39"|"Selvamor"|"Desodorante natural en crema 50 cc"|"Anti-bacteriano. Neutraliza el olor. Hecho a base de aceite de coco, crema neutra, tee tree, lavanda, lemon grass, bicarbonato de sodio y fécula de maíz"|"Selvamor"|"132.0"|"0.0"|""
"HIP50003"|"oculto"|"39"|"Selvamor"|"Óleo corporal romero y lavanda 35 cc"|"Arte natural y curativo. Para masajes, aliviar migrañas y contracturas"|"Selvamor"|"0.0"|"0.0"|""
"CAN01005"|"oculto"|"10"|"Lácteos La Resistencia"|"Tabla de quesos"|"Lácteos La Resistencia. Muzzarella + reggianito + variedad de Saborizados + aceitunas negras + aceitunas verdes + nueces + almendras"|"Lácteos La Resistencia"|"0.0"|"0.0"|""
"CAN03002"|"oculto"|"31"|"Varios"|"Canasta Navideña dulce (chocolate)"|"Pan dulce con chips de chocolate Fargo 500gr. + budín vainilla Fargo 250gr. + budín marmolado Fargo 250gr. + garrapiñadas Bariloche 100gr. + maní con chocolate Bariloche 100gr. + turrón Bariloche 80gr. 2u."|"Varios"|"0.0"|"0.0"|""
"ALM36007"|"oculto"|"65"|"Artemio"|"Champagne Demi Sec"|""|"Chandon"|"0.0"|"0.0"|""
"ALM36008"|"oculto"|"65"|"Artemio"|"Champagne Extra Brut"|""|"Chandon"|"0.0"|"0.0"|""
"LIM16001"|"oculto"|"4"|"Distribuidora Parodi"|"Repelente Espirales 12u."|"Raid"|"Raid"|"37.33"|"0.0"|""
"ALM29004"|"oculto"|"28"|"Mil Hojas"|"Fideos Verdes 500gr."|"Mil Hojas"|"Mil Hojas"|"0.0"|"0.0"|""
"ALM20008"|"oculto"|"8"|"Alimentos Natureza"|"Mermelada de ciruela 450 g"|""|"Alimentos Natureza"|"110.0"|"0.0"|""
"ALM49004"|"oculto"|"11"|"Fargo"|"Pan dulce con chips de chocolate 500gr."|"Fargo"|"Fargo"|"0.0"|"0.0"|""
"ALM49003"|"oculto"|"11"|"Fargo"|"Pan dulce con frutas 500gr."|"Fargo"|"Fargo"|"0.0"|"0.0"|""
"ALM49002"|"oculto"|"11"|"Fargo"|"Pan dulce sin frutas 500gr."|"Fargo"|"Fargo"|"0.0"|"0.0"|""
