"Codigo"|"Estado"|"Cod. Proveedor"|"Proveedor"|"Nombre"|"Descripcion"|"Marca"|"Precio final"|"Precio super"|"Stock"
"FRE06030"|"activo"|"50"|"Frigorífico Swift"|"Crema de leche 200 g"|""|"La Cabaña"|"41.45"|"52.5"|""
"LIM09003"|"activo"|"19"|"Cooperativa La Esperanza"|"Bolsa de consorcio x 10 unidades 45x60"|"Cooperativa de trabajo de discapacitados mentales"|"Cooperativa La Esperanza"|"25.8"|"44.74"|""
"LIM09004"|"activo"|"19"|"Cooperativa La Esperanza"|"Bolsa de consorcio x 10 unidades 60x90"|"Cooperativa de trabajo de discapacitados mentales"|"Cooperativa La Esperanza"|"27.0"|"50.45"|""
"FRE10058"|"activo"|"50"|"Frigorífico Swift"|"Chorizo parrillero x 5 unidades"|"Bandeja x 600 g aprox."|"Frigorifico Giusti"|"118.8"|"131.4"|""
"FRE10059"|"activo"|"1"|"Genérico"|"Cuadrada feteada 850 g"|"Bandeja x 850 g aprox"|"Frigorifico Giusti"|"236.5"|"263.5"|""
"CAN02030"|"oculto"|"1"|"Genérico"|"Promo almuerzo autogestivo"|"Pan Agroecologico Coco Eco + Ravioles de verdura 1 kilo Mil Hojas + Crema de leche La Cabaña x 200 g"|"Coco Eco"|"169.46"|"0.0"|"1"
"CAN02031"|"oculto"|"1"|"Genérico"|"Promo cena autogestiva"|"2 pizzetas integrales Coco Eco + Queso Barra La Resistencia 300 gr."|"Coco Eco"|"142.35"|"0.0"|"1"
"IMP1000"|"oculto"|"1"|"Genérico"|"Levadura x 500 g"|""|""|"29.4"|"0.0"|""
"IMP1002"|"oculto"|"1"|"Genérico"|"Aceite x 5 l"|""|"Marumby"|"262.5"|"0.0"|""
"IMP1003"|"oculto"|"1"|"Genérico"|"Reveca vegetal x 5 k"|""|""|"420.0"|"0.0"|""
"IMP1004"|"oculto"|"1"|"Genérico"|"Esencia de vainilla x 1 l"|""|""|"63.0"|"0.0"|""
"IMP1005"|"oculto"|"1"|"Genérico"|"Esencia de coco x 1 l"|""|""|"168.0"|"0.0"|""
"IMP1006"|"oculto"|"1"|"Genérico"|"Coco Rallado x 1 k"|""|""|"199.5"|"0.0"|""
"IMP1008"|"oculto"|"1"|"Genérico"|"Fecula de maiz x 5 k"|""|""|"168.0"|"0.0"|""
"IMP1010"|"oculto"|"1"|"Genérico"|"Margarina cordobesa x 10 k"|""|""|"714.0"|"0.0"|""
"IMP1011"|"oculto"|"1"|"Genérico"|"Queso cremoso x 4,5 k"|""|"Cremac"|"990.15"|"0.0"|""
"IMP1013"|"oculto"|"1"|"Genérico"|"Queso Muzzarella x 2,5 k"|""|""|"630.0"|"0.0"|""
"IMP1014"|"oculto"|"1"|"Genérico"|"Fecula de mandioca x 10 k"|""|""|"882.0"|"0.0"|""
"IMP1015"|"oculto"|"1"|"Genérico"|"Azucar impalpable x 5 k"|""|""|"157.5"|"0.0"|""
"IMP1016"|"oculto"|"1"|"Genérico"|"Pasta forrar x 3 k"|""|"Anastasia"|"304.5"|"0.0"|""
"IMP1020"|"oculto"|"1"|"Genérico"|"Fondant x 1 k"|""|""|"81.9"|"0.0"|""
"IMP1022"|"oculto"|"1"|"Genérico"|"Manteca x 2,5 k"|""|"Inty"|"630.0"|"0.0"|""
"IMP1024"|"oculto"|"1"|"Genérico"|"Guindas x 5 k"|""|""|"367.5"|"0.0"|""
"IMP1025"|"oculto"|"1"|"Genérico"|"Chocolate blanco x 1 k"|""|"Mapsa cuber"|"183.75"|"0.0"|""
"IMP1026"|"oculto"|"1"|"Genérico"|"Chocolate con leche x 1 k"|""|"Mapsa cuber"|"183.75"|"0.0"|""
"IMP1027"|"oculto"|"1"|"Genérico"|"Chocolate semi amargo x 1 k"|""|"Mapsa cuber"|"183.75"|"0.0"|""
"IMP1028"|"oculto"|"1"|"Genérico"|"Chocolate blanco x 1 k"|""|"Cubersuiz"|"0.0"|"0.0"|""
"IMP1029"|"oculto"|"1"|"Genérico"|"Chocolate con leche x 1 k"|""|"Cubersuiz"|"0.0"|"0.0"|""
"IMP1030"|"oculto"|"1"|"Genérico"|"Chocolate semi amargo x 1 k"|""|"Cubersuiz"|"0.0"|"0.0"|""
"IMP1032"|"oculto"|"1"|"Genérico"|"Molde de gallinita x 1 placa para pascua"|""|""|"0.0"|"0.0"|""
"IMP1033"|"oculto"|"1"|"Genérico"|"Molde chupaleta para pascua"|""|""|"0.0"|"0.0"|""
"IMP1034"|"oculto"|"1"|"Genérico"|"Molde conejito chico / con huevo / parado"|""|""|"0.0"|"0.0"|""
"IMP1035"|"oculto"|"1"|"Genérico"|"Confites frutales x k"|""|""|"0.0"|"0.0"|""
"IMP1037"|"oculto"|"1"|"Genérico"|"Molde cara de conejo para pascua"|""|""|"0.0"|"0.0"|""
"IMP1038"|"oculto"|"1"|"Genérico"|"Tomate en lata x 8 k"|""|"Perla de nieve"|"246.75"|"0.0"|""
"ALM25092"|"activo"|"12"|"Tyna"|"Copos de Maiz tradicionales x 160 g"|""|"Granix"|"29.57"|"36.39"|""
"ALM25093"|"activo"|"12"|"Tyna"|"Copos de Maiz azucarados x 240 g"|""|"Granix"|"41.4"|"45.0"|""
"ALM39014"|"activo"|"1"|"Genérico"|"Cerveza en lata American IPA 473 ml"|""|"Keinkater"|"74.8"|"0.0"|""
"ALM39015"|"activo"|"1"|"Genérico"|"Cerveza en lata Cream Ale 473 ml"|""|"Keinkater"|"66.0"|"0.0"|""
"ALM25076"|"activo"|"73"|"Agricultores Federados"|"Porotos de alubia 400 g"|"Agricultores Federados Argentinos"|"Del Agricultor"|"39.63"|"0.0"|""
"ALM25075"|"oculto"|"73"|"Agricultores Federados"|"Garbanzos secos 400 g"|"Agricultores Federados Argentinos"|"Del Agricultor"|"36.19"|"51.89"|""
"ALM36052"|"oculto"|"11"|"Fargo"|"Galletas de arroz integral x 100 g"|"Sabor naranja"|"All Rice"|"32.2"|"0.0"|"12"
"ALM37009"|"activo"|"97"|"Entre Pétalos"|"Miel 1 k"|""|"Entre Pétalos"|"193.6"|"220.0"|""
"LIM11005"|"oculto"|"12"|"Tyna"|"Preservativos de latex x 3 u"|"Super finos"|"Prime"|"61.98"|"90.0"|""
"IMP1007"|"oculto"|"1"|"Genérico"|"Dulce de leche x 10 k"|""|"Inty"|"703.5"|"0.0"|""
"IMP1017"|"oculto"|"1"|"Genérico"|"Cacao amargo x 1 k"|""|"Paine"|"399.0"|"0.0"|""
"LIM09005"|"activo"|"18"|"El Libertador"|"Lavandina en gel 700 cc"|""|"El Libertador"|"46.81"|"80.25"|""
"IMP1039"|"oculto"|"1"|"Genérico"|"Harina 000 x 5 k"|""|"Florencia"|"147.0"|"0.0"|""
"IMP1040"|"oculto"|"1"|"Genérico"|"Harina 000 x 25 k"|""|"Florencia"|"462.0"|"0.0"|""
"IMP1041"|"oculto"|"1"|"Genérico"|"Harina 0000 x 5 k"|""|"Florencia"|"168.0"|"0.0"|""
"IMP1042"|"oculto"|"1"|"Genérico"|"Harina 0000 x 25 k"|""|"Florencia"|"630.0"|"0.0"|""
"FRE10060"|"activo"|"53"|"Alimentos con Amor"|"Ravioles de calabaza y muzzarela 1 k"|"Caseros"|"Alimentos con Amor"|"220.0"|"0.0"|""
"ALM25083"|"activo"|"73"|"Agricultores Federados"|"Fideos mostachol secos 500 g"|""|"Don Pepe"|"28.36"|"34.58"|"42"
"ALM25095"|"activo"|"11"|"Fargo"|"Magdalenas rellenas con dulce de leche 250 g"|""|"Pozo"|"46.0"|"87.75"|""
"ALM25043"|"activo"|"43"|"Crowie"|"Barrita de arroz con baño Marroc 6 u"|""|"Crowie"|"65.86"|"90.0"|""
"FYV10068"|"oculto"|"85"|"MAI FYV"|"Canasta agroecologica de citricos 3,5 k aprox"|"Pomelo mandarina naranja limon"|"Misión Verde"|"143.75"|"0.0"|""
"ALM07002"|"activo"|"3"|"Distribución Rosario"|"Azucar 1 kg"|""|"Chango"|"37.62"|"44.83"|"103"
