C,#,Producto,Sec
12,3,Galletitas de arroz 150 g - Molinos del Bosque,FRA
12,2,Copos de Maiz azucarados x 240 g - Granix,FRA
12,3,Turrón almendras 1u 100 g - Salvena Miel,FRA
12,3,Turrón castañas 1 u 100 g - Salvena Miel,FRA
12,4,Lengüitas de orégano o criollas 150 g - El Mejunje,FRA
12,2,Supremas de pollo 800 g - Frigorifico Giusti,FRE
12,2,Jamón Crudo feteado 150 g - Embutidos Natali,FRE
12,1,Bondiola 400 g - Embutidos Natali,FRE
12,1,Queso untable azul 190 g - Milkaut,FRE
12,1,Queso untable clásico 190 g - Milkaut,FRE
12,2,Manteca pan 200 g - La Cabaña,FRE
12,1,Queso saborizado provenzal 350 g - Lácteos La Resistencia,FRE
12,1,Queso barra 400 g - Lácteos La Resistencia,FRE
12,3,Milanesas de soja 4 u - Shanti,FRE
12,1,Ravioles de verdura 1 k - Mil Hojas,FRE
12,1,Raviolones integrales de Ricota y Nuez - Panamby,FRZ
12,1,Ravioles integrales de ricota y verdura - Panamby,FRZ
12,1,Ravioles de rucula y parmesano 1 k - Alimentos con Amor,FRZ
12,1,Ravioles de calabaza y muzzarela 1 k - Alimentos con Amor,FRZ
12,1,Sorrentinos de JYQ 1/2 k - Pastas Garcia,FRZ
12,1,Costeletitas de cerdo 900 g - Frigorifico Giusti,FRZ
12,4,Hamburguesas de calabaza y Muzzarella - Souno,FRZ
12,1,Hamburguesas Arveja y espinaca - Souno,FRZ
12,2,"Medallones de merluza, espinaca y queso - Solimeno",FRZ
12,1,Canasta de frutas chica (4 productos) - Misión Verde,FYV
12,1,Champiniones 250 g - Misión Verde,FYV
12,2,Lavandina 1000 cc - El Libertador,LIM
12,2,Lavandina 1000 cc - Cooperativa La Esperanza,LIM
12,1,Trapo amarillo 1 u - Cooperativa La Esperanza,LIM
12,1,Trapo de piso 1 u - Cooperativa La Esperanza,LIM
12,1,Aerosol desinfectante 360 cc - Lysoform,LIM
12,1,Bolsa de consorcio x 10 unidades 45x60 - Cooperativa La Esperanza,LIM
12,1,Jabón de tocador 3 u - Coop. Cañada Rosquín,LIM
12,1,Dentífrico 90 g - Colgate,LIM
12,1,Protectores diarios sin alas 20 u - Carefree,LIM
12,2,Antitranspirante masculino 90 g - Rexona,LIM
12,2,Preservativos de latex x 3 u - Prime,LIM
